timestamp,ip,user,attempts,status,hour,minute,ip_encoded,user_encoded,attempts_per_minute,time_diff,is_attack
2025-04-14 15:17:03,127.0.0.1,chaima,23,failed,15,17,0,1,50,3.0,1
2025-04-14 15:17:06,127.0.0.1,chaima,1,success,15,17,0,1,50,3.0,0
2025-04-14 15:17:09,127.0.0.1,chaima,24,failed,15,17,0,1,50,3.0,1
2025-04-14 15:17:13,127.0.0.1,chaima,25,failed,15,17,0,1,50,4.0,1
2025-04-14 15:17:16,127.0.0.1,chaima,26,failed,15,17,0,1,50,3.0,1
2025-04-14 15:17:41,127.0.0.1,chaima,1,success,15,17,0,1,50,25.0,0
2025-04-14 15:18:27,127.0.0.1,chaima,1,success,15,18,0,1,50,46.0,0
2025-04-14 15:19:17,127.0.0.1,chaima,1,success,15,19,0,1,50,50.0,0
2025-04-14 15:20:06,127.0.0.1,chaima,1,success,15,20,0,1,50,49.0,0
2025-04-14 15:20:18,127.0.0.1,chaima,1,success,15,20,0,1,50,12.0,0
2025-04-14 15:21:11,127.0.0.1,chaima,1,success,15,21,0,1,50,53.0,0
2025-04-14 15:21:31,127.0.0.1,chaima,1,success,15,21,0,1,50,20.0,0
2025-04-14 15:21:44,127.0.0.1,chaima,1,success,15,21,0,1,50,13.0,0
2025-04-14 15:22:43,127.0.0.1,chaima,1,success,15,22,0,1,50,59.0,0
2025-04-14 15:22:53,127.0.0.1,chaima,1,success,15,22,0,1,50,10.0,0
2025-04-14 15:22:56,127.0.0.1,chaima,1,success,15,22,0,1,50,3.0,0
2025-04-14 15:23:44,127.0.0.1,chaima,1,success,15,23,0,1,50,48.0,0
2025-04-14 15:24:27,127.0.0.1,chaima,1,success,15,24,0,1,50,43.0,0
2025-04-14 15:24:43,127.0.0.1,admin,27,failed,15,24,0,0,4,16.0,0
2025-04-14 15:26:02,127.0.0.1,chaima,1,success,15,26,0,1,50,79.0,0
2025-04-14 15:26:51,127.0.0.1,chaima,1,success,15,26,0,1,50,49.0,0
2025-04-14 15:32:05,127.0.0.1,admin,1,success,15,32,0,0,4,314.0,0
